customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,TotalCharges
C00039,Male,0,Yes,No,53,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,42.76,No,2312.18
C00040,Male,0,Yes,No,0,Yes,No,DSL,No,Yes,Two year,No,Credit card,117.43,No,13.4
C00041,Male,0,No,Yes,54,Yes,No phone service,Fiber optic,Yes,Yes,One year,Yes,Bank transfer,87.07,No,4708.97
C00042,Female,0,No,No,14,No,Yes,DSL,No internet service,Yes,One year,No,Electronic check,62.01,No,891.97
C00043,Female,0,Yes,Yes,14,No,No,DSL,No internet service,No,Month-to-month,No,Mailed check,67.68,No,949.06
C00044,Female,0,Yes,Yes,22,No,No,DSL,No internet service,Yes,Month-to-month,Yes,Credit card,95.38,No,2102.22
C00045,Female,0,No,No,65,No,No,Fiber optic,No internet service,No,Month-to-month,No,Mailed check,94.08,Yes,6145.27
C00046,Female,1,Yes,No,45,Yes,No,Fiber optic,No,No internet service,Month-to-month,No,Credit card,102.95,No,4667.95
C00047,Male,0,No,No,8,Yes,No,Fiber optic,No internet service,No,Month-to-month,No,Bank transfer,42.31,No,345.41
C00048,Female,0,Yes,No,65,Yes,No phone service,DSL,No,No internet service,Month-to-month,Yes,Credit card,113.75,Yes,7410.82
C00049,Female,0,Yes,No,65,Yes,No phone service,DSL,No internet service,No internet service,Month-to-month,No,Mailed check,44.41,Yes,2927.04
C00050,Male,0,No,No,17,Yes,No,Fiber optic,No,No,Month-to-month,No,Credit card,66.53,Yes,1141.06
C00051,Female,0,No,Yes,16,Yes,No,DSL,No internet service,No internet service,Month-to-month,Yes,Bank transfer,39.35,No,674.13
C00052,Male,0,No,No,71,No,No,DSL,No,No,One year,No,Bank transfer,61.86,No,4420.14
C00053,Female,1,Yes,No,33,Yes,Yes,DSL,Yes,Yes,Month-to-month,Yes,Credit card,83.64,No,2789.79
C00054,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,67.68,No,4609.74
C00055,Female,0,Yes,No,63,Yes,No phone service,Fiber optic,No,No internet service,Month-to-month,No,Bank transfer,43.1,No,2718.38
C00056,Female,0,No,No,43,Yes,No phone service,DSL,No internet service,No internet service,Two year,Yes,Credit card,57.09,No,2473.01
C00057,Male,0,Yes,No,28,Yes,Yes,Fiber optic,No internet service,Yes,One year,Yes,Bank transfer,78.04,No,2189.86
C00058,Male,0,Yes,No,61,Yes,No,Fiber optic,Yes,No,Two year,Yes,Bank transfer,108.67,No,6633.86
C00059,Male,0,No,No,15,Yes,No phone service,Fiber optic,No internet service,Yes,One year,Yes,Bank transfer,60.79,No,959.3
C00060,Male,0,Yes,No,51,Yes,No,DSL,No,No internet service,Month-to-month,Yes,Bank transfer,76.06,No,3882.46
C00061,Male,0,Yes,Yes,1,Yes,No,Fiber optic,No internet service,No,Month-to-month,Yes,Bank transfer,110.0,No,131.97
C00062,Male,0,No,Yes,60,Yes,No phone service,Fiber optic,No internet service,No internet service,One year,No,Bank transfer,102.95,No,6214.8
C00063,Male,0,No,Yes,3,Yes,Yes,DSL,No,No,Month-to-month,No,Electronic check,36.72,No,124.39
C00064,Male,0,No,No,51,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,Electronic check,54.54,Yes,2806.43
C00065,Female,0,No,No,40,Yes,Yes,Fiber optic,No internet service,Yes,One year,No,Bank transfer,97.66,Yes,3924.4
C00066,Female,0,No,No,51,No,No,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Electronic check,91.83,Yes,4719.0
C00067,Male,1,No,Yes,30,Yes,No,DSL,No,Yes,Two year,Yes,Bank transfer,95.49,No,2895.19
C00068,Female,1,No,No,25,No,No,DSL,Yes,Yes,Month-to-month,No,Bank transfer,34.11,No,868.19
C00069,Female,0,No,No,26,Yes,Yes,Fiber optic,Yes,No internet service,One year,Yes,Credit card,64.47,Yes,1707.8
C00070,Female,0,No,No,50,No,No,Fiber optic,No internet service,No internet service,Two year,Yes,Mailed check,88.21,No,4410.65
C00071,Female,0,Yes,No,47,Yes,No phone service,Fiber optic,No,No internet service,Two year,Yes,Electronic check,58.99,No,2806.08
C00072,Male,0,No,No,10,Yes,No,Fiber optic,No internet service,No,Month-to-month,No,Mailed check,75.01,No,789.19
C00073,Female,1,No,Yes,7,Yes,No phone service,Fiber optic,No,No internet service,Two year,Yes,Bank transfer,94.73,No,663.45
C00074,Male,0,Yes,Yes,11,Yes,Yes,Fiber optic,No,No,One year,Yes,Credit card,68.87,No,790.6
C00075,Female,1,No,Yes,44,Yes,No,DSL,No internet service,No internet service,Month-to-month,No,Bank transfer,79.63,No,3531.21
C00076,Female,1,Yes,No,33,Yes,No,Fiber optic,No,No,Two year,Yes,Bank transfer,52.66,No,1751.92
C00077,Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Credit card,54.87,No,3905.67
C00078,Male,0,No,No,46,Yes,No,DSL,Yes,No,Month-to-month,Yes,Credit card,36.95,No,1747.57
C00079,Female,0,Yes,No,20,Yes,No phone service,DSL,Yes,Yes,Month-to-month,Yes,Electronic check,118.17,No,2387.48
C00080,Male,1,No,No,40,Yes,Yes,DSL,No internet service,No internet service,One year,Yes,Credit card,79.31,No,3195.3
C00081,Female,0,No,No,21,Yes,No phone service,Fiber optic,Yes,No internet service,Month-to-month,No,Electronic check,37.64,Yes,832.77
C00082,Male,1,Yes,Yes,20,Yes,Yes,DSL,Yes,No,One year,Yes,Electronic check,34.6,No,711.14
C00083,Female,0,Yes,No,27,Yes,No phone service,No,Yes,Yes,Month-to-month,Yes,Electronic check,41.08,No,1149.44
C00084,Male,0,Yes,No,66,Yes,No phone service,No,Yes,Yes,Month-to-month,No,Mailed check,90.5,No,6001.38
C00085,Male,1,No,Yes,70,Yes,No phone service,No,No,No,Two year,Yes,Mailed check,68.38,No,4797.14
C00086,Female,0,No,No,13,Yes,No,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Electronic check,72.09,No,954.71
C00087,Male,0,Yes,No,72,Yes,No,No,No internet service,Yes,Month-to-month,No,Electronic check,88.3,Yes,6358.75
C00088,Female,0,No,No,51,Yes,No,DSL,Yes,No internet service,Month-to-month,No,Mailed check,91.63,No,4695.13
C00089,Female,0,No,No,42,Yes,No,Fiber optic,No internet service,No,One year,No,Electronic check,93.41,No,3970.05
C00090,Female,0,Yes,No,70,Yes,No,Fiber optic,No internet service,No internet service,Two year,No,Bank transfer,26.05,No,1855.1
C00091,Female,0,Yes,No,18,Yes,No phone service,DSL,No internet service,Yes,Two year,No,Bank transfer,102.07,No,1866.16
C00092,Female,1,Yes,Yes,26,Yes,No,DSL,No,No,Month-to-month,No,Credit card,35.61,Yes,969.34
C00093,Female,1,Yes,Yes,17,Yes,No phone service,Fiber optic,Yes,Yes,Month-to-month,No,Electronic check,82.12,No,1402.15
C00094,Female,0,Yes,Yes,12,Yes,Yes,DSL,No internet service,No internet service,One year,Yes,Electronic check,40.77,No,529.06
C00095,Female,0,Yes,No,0,Yes,No phone service,Fiber optic,No,No internet service,One year,Yes,Bank transfer,101.44,No,34.88
C00096,Female,0,Yes,No,33,Yes,No,No,Yes,No,One year,No,Electronic check,95.28,No,3170.71
C00097,Female,0,Yes,No,12,Yes,Yes,DSL,No,Yes,Two year,Yes,Bank transfer,35.7,No,447.66
C00098,Female,1,Yes,No,50,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer,73.58,No,3680.77
C00099,Male,0,Yes,No,0,No,Yes,Fiber optic,No,Yes,Month-to-month,No,Electronic check,90.89,Yes,30.9
C00100,Male,0,No,No,27,Yes,No phone service,DSL,No internet service,No,One year,No,Electronic check,35.09,No,975.9
C00101,Female,0,No,No,31,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,32.78,Yes,1030.42
C00102,Female,0,Yes,Yes,71,Yes,No,No,Yes,No internet service,Month-to-month,No,Electronic check,55.95,No,3986.18
C00103,Female,0,No,No,54,Yes,Yes,DSL,No internet service,No internet service,Month-to-month,Yes,Electronic check,110.78,No,6000.0
C00104,Female,0,No,No,25,Yes,No phone service,DSL,Yes,Yes,Month-to-month,Yes,Mailed check,24.85,No,642.92
C00105,Female,0,No,Yes,13,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,54.25,No,742.16
C00106,Female,0,No,No,67,Yes,No phone service,No,No,Yes,Month-to-month,No,Bank transfer,99.44,No,6688.1
C00107,Female,0,No,No,62,Yes,Yes,Fiber optic,No internet service,No,One year,No,Bank transfer,52.77,No,3279.25
C00108,Female,0,No,Yes,13,Yes,No phone service,DSL,No,Yes,Month-to-month,No,Credit card,23.56,Yes,350.85
C00109,Male,0,Yes,Yes,26,Yes,No phone service,Fiber optic,Yes,No,One year,Yes,Credit card,81.89,No,2153.1
C00110,Female,0,Yes,Yes,40,Yes,No phone service,DSL,Yes,Yes,Two year,Yes,Bank transfer,114.75,No,4634.86
C00111,Male,0,No,No,2,Yes,No phone service,No,No internet service,Yes,One year,No,Mailed check,76.54,Yes,183.73
C00112,Female,0,No,No,58,Yes,No,No,No,No,Month-to-month,No,Bank transfer,100.26,No,5843.54
C00113,Female,0,Yes,No,22,Yes,No phone service,Fiber optic,No,No internet service,Month-to-month,No,Bank transfer,19.43,Yes,444.17
C00114,Male,0,No,No,17,Yes,No,DSL,No,No internet service,Month-to-month,Yes,Mailed check,84.71,Yes,1488.63
C00115,Female,1,No,No,40,Yes,No phone service,Fiber optic,No internet service,No,Month-to-month,No,Credit card,33.25,No,1379.16
C00116,Male,1,No,No,7,Yes,Yes,DSL,No,No,Month-to-month,No,Bank transfer,88.55,No,637.99
C00117,Female,0,No,No,31,Yes,Yes,DSL,No,No internet service,One year,Yes,Credit card,75.58,No,2382.46
C00118,Female,1,No,No,40,Yes,No,Fiber optic,Yes,Yes,Two year,No,Electronic check,40.39,No,1629.1
C00119,Male,0,Yes,No,44,No,Yes,Fiber optic,Yes,No internet service,Month-to-month,No,Mailed check,77.09,No,3422.65
C00120,Female,0,Yes,No,8,No,No phone service,Fiber optic,No,No,Month-to-month,No,Bank transfer,86.29,Yes,723.86
C00121,Male,0,No,No,47,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer,109.12,No,5177.86
C00122,Female,0,Yes,No,23,Yes,No,Fiber optic,Yes,No,One year,Yes,Credit card,107.77,No,2493.12
C00123,Male,0,No,Yes,43,Yes,Yes,Fiber optic,No internet service,No internet service,Month-to-month,No,Electronic check,112.58,No,4876.24
C00124,Male,0,No,Yes,57,Yes,No,Fiber optic,Yes,Yes,Two year,Yes,Mailed check,102.96,No,5880.99
C00125,Female,0,No,No,65,Yes,No phone service,DSL,No,No internet service,One year,No,Electronic check,72.62,No,4722.11
C00126,Female,0,No,Yes,17,Yes,No phone service,Fiber optic,No internet service,No internet service,One year,No,Electronic check,103.76,Yes,1778.17
C00127,Male,0,No,No,28,Yes,Yes,Fiber optic,No,No internet service,One year,No,Bank transfer,90.94,Yes,2585.64
C00128,Female,1,No,No,1,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card,92.53,No,139.38
C00129,Female,0,No,Yes,67,Yes,Yes,Fiber optic,No,No internet service,Month-to-month,Yes,Credit card,33.61,Yes,2253.18
C00130,Female,0,No,Yes,38,Yes,No phone service,DSL,No internet service,Yes,Month-to-month,Yes,Bank transfer,36.14,No,1378.92
C00131,Male,0,No,Yes,72,Yes,Yes,DSL,No,No internet service,Month-to-month,Yes,Bank transfer,36.21,No,2625.61
C00132,Male,0,Yes,Yes,40,Yes,No phone service,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Electronic check,39.13,No,1587.83
C00133,Male,0,No,No,70,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Credit card,60.22,No,4261.81
C00134,Male,0,Yes,No,21,Yes,Yes,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Mailed check,49.86,No,1048.1
C00135,Male,0,Yes,No,48,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Bank transfer,22.96,No,1144.53
C00136,Male,0,No,No,27,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,91.13,No,2486.23
C00137,Male,0,Yes,No,15,Yes,No,DSL,Yes,Yes,Two year,Yes,Credit card,58.73,No,891.69
C00138,Male,0,No,No,67,Yes,No,Fiber optic,Yes,No internet service,Month-to-month,Yes,Bank transfer,25.87,Yes,1743.1
C00139,Male,0,No,No,61,Yes,No,DSL,Yes,No,Two year,No,Electronic check,97.7,No,5962.2
C00140,Female,0,No,No,35,No,No phone service,Fiber optic,No internet service,No,Two year,Yes,Credit card,19.97,No,711.26
C00141,Male,0,No,Yes,21,Yes,Yes,DSL,No internet service,No,Month-to-month,Yes,Mailed check,74.55,No,1614.28
C00142,Female,0,Yes,Yes,10,Yes,No phone service,Fiber optic,No internet service,Yes,Month-to-month,Yes,Electronic check,94.48,Yes,984.7
C00143,Female,1,Yes,Yes,41,Yes,No phone service,Fiber optic,No internet service,No,One year,Yes,Mailed check,55.63,Yes,2328.95
C00144,Female,1,No,Yes,54,No,No,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,75.98,No,4110.68
C00145,Male,1,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Two year,No,Mailed check,23.12,No,1692.1
C00146,Male,0,Yes,Yes,34,Yes,No phone service,Fiber optic,No,Yes,One year,No,Credit card,41.94,No,1472.57
C00147,Male,0,Yes,No,56,Yes,No phone service,No,No internet service,Yes,One year,Yes,Mailed check,85.02,No,4794.13
C00148,Male,0,No,No,33,Yes,No,No,Yes,No internet service,Two year,No,Mailed check,97.83,No,3229.39
C00149,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,No,Mailed check,29.55,No,2131.08
C00150,Male,0,Yes,No,69,Yes,Yes,DSL,Yes,Yes,One year,Yes,Credit card,115.59,No,7996.8
C00151,Male,0,Yes,Yes,3,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer,57.85,Yes,192.77
C00152,Male,1,No,No,45,Yes,No phone service,No,No,No internet service,Month-to-month,Yes,Bank transfer,111.38,No,5056.58
C00153,Male,0,Yes,Yes,10,Yes,No,Fiber optic,No internet service,No,Month-to-month,No,Electronic check,72.51,No,764.11
C00154,Male,1,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,One year,Yes,Bank transfer,83.05,No,4989.61
C00155,Female,0,No,No,34,Yes,No phone service,DSL,Yes,Yes,Two year,Yes,Mailed check,35.77,No,1220.65
C00156,Male,0,Yes,No,68,Yes,No phone service,Fiber optic,No,No,Month-to-month,No,Credit card,107.36,No,7343.83
C00157,Female,0,No,No,56,Yes,Yes,No,No,No internet service,Two year,No,Bank transfer,26.83,No,1524.97
C00158,Male,0,No,No,10,Yes,No,Fiber optic,No,No internet service,Month-to-month,Yes,Credit card,117.73,Yes,1185.77
C00159,Female,0,No,Yes,11,Yes,No,Fiber optic,No internet service,No,Month-to-month,Yes,Mailed check,57.59,Yes,678.42
C00160,Male,0,No,Yes,42,No,Yes,DSL,No,Yes,Two year,No,Bank transfer,34.6,No,1489.22
C00161,Male,0,No,No,18,Yes,No phone service,Fiber optic,No internet service,No internet service,Month-to-month,No,Electronic check,79.18,Yes,1433.44
C00162,Female,0,No,No,67,Yes,No,Fiber optic,No,No internet service,Month-to-month,Yes,Electronic check,105.44,No,7094.79
C00163,Female,1,Yes,No,58,Yes,No phone service,DSL,No internet service,No,Month-to-month,Yes,Mailed check,58.11,No,3393.84
C00164,Female,0,No,Yes,1,No,No phone service,Fiber optic,Yes,No internet service,Month-to-month,Yes,Credit card,18.87,Yes,31.68
C00165,Male,1,Yes,No,7,Yes,No,Fiber optic,Yes,Yes,Month-to-month,No,Mailed check,106.1,No,772.25
C00166,Female,0,Yes,No,21,Yes,No phone service,DSL,Yes,No,Month-to-month,Yes,Bank transfer,76.71,Yes,1632.92
C00167,Male,0,No,No,20,Yes,No phone service,DSL,No internet service,No internet service,Month-to-month,Yes,Credit card,27.38,No,575.68
C00168,Male,0,Yes,No,28,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,109.51,Yes,3080.93
C00169,Female,0,Yes,No,36,No,No,DSL,No internet service,Yes,One year,No,Credit card,96.09,No,3495.5
C00170,Female,0,Yes,Yes,28,Yes,No phone service,Fiber optic,No internet service,No,Two year,No,Credit card,71.8,No,2031.73
C00171,Male,0,No,No,36,Yes,No,Fiber optic,No internet service,No,Month-to-month,Yes,Bank transfer,63.12,No,2312.98
C00172,Male,0,Yes,Yes,20,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card,89.3,No,1816.4
C00173,Female,0,Yes,Yes,11,Yes,No phone service,No,No internet service,Yes,Month-to-month,No,Credit card,54.58,No,612.55
C00174,Female,0,No,No,47,Yes,No,Fiber optic,No,No internet service,Month-to-month,Yes,Mailed check,84.14,No,3971.62
C00175,Female,0,Yes,No,46,Yes,Yes,Fiber optic,Yes,No internet service,Two year,Yes,Electronic check,33.24,No,1543.37
C00176,Male,0,Yes,No,14,No,Yes,No,No,No internet service,One year,No,Credit card,32.39,No,471.43
C00177,Male,0,Yes,No,66,Yes,No phone service,Fiber optic,Yes,No internet service,Month-to-month,Yes,Electronic check,49.42,Yes,3270.29
C00178,Male,0,No,No,12,Yes,No,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Credit card,107.47,No,1313.42
C00179,Male,0,Yes,Yes,58,Yes,No phone service,Fiber optic,No internet service,No,Month-to-month,No,Credit card,103.88,No,6027.5
C00180,Male,0,Yes,No,72,No,No,Fiber optic,No internet service,No internet service,Two year,No,Mailed check,67.7,No,4891.8
C00181,Male,0,No,Yes,12,Yes,No phone service,Fiber optic,Yes,No internet service,Two year,Yes,Electronic check,77.13,No,946.91
C00182,Female,0,No,No,71,Yes,No phone service,Fiber optic,Yes,No internet service,Month-to-month,Yes,Mailed check,81.39,No,5816.89
C00183,Male,0,No,No,18,Yes,No,Fiber optic,No internet service,Yes,Month-to-month,No,Bank transfer,55.69,No,1045.54
C00184,Male,0,Yes,No,56,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,88.83,No,5013.13
C00185,Male,0,No,No,31,Yes,No phone service,DSL,No,No,Two year,No,Electronic check,79.42,No,2466.12
C00186,Female,1,No,Yes,20,No,Yes,DSL,No internet service,Yes,Month-to-month,Yes,Mailed check,53.79,No,1108.89
C00187,Male,0,No,No,13,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Credit card,46.67,No,649.33
C00188,Male,0,Yes,Yes,23,Yes,No phone service,Fiber optic,No,No internet service,Month-to-month,Yes,Credit card,117.06,Yes,2718.83
C00189,Female,0,No,Yes,48,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,46.71,No,2288.85
C00190,Male,0,No,Yes,31,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Credit card,35.58,Yes,1147.16
C00191,Male,0,No,No,10,Yes,No,No,No internet service,No internet service,One year,Yes,Electronic check,102.29,No,1066.81
C00192,Male,0,No,No,59,Yes,No phone service,No,No,No internet service,Month-to-month,No,Electronic check,99.89,No,5941.71
C00193,Male,0,No,No,67,No,Yes,No,Yes,No,Two year,Yes,Bank transfer,42.11,No,2859.64
C00194,Male,0,Yes,No,60,Yes,No phone service,DSL,Yes,Yes,One year,Yes,Bank transfer,103.72,No,6257.5
C00195,Female,0,Yes,No,4,Yes,Yes,Fiber optic,No internet service,Yes,Month-to-month,Yes,Mailed check,110.08,No,477.96
C00196,Female,0,No,No,35,Yes,No,Fiber optic,No internet service,Yes,One year,Yes,Electronic check,51.51,No,1820.75
C00197,Female,1,No,No,63,Yes,No,Fiber optic,No internet service,Yes,Month-to-month,Yes,Electronic check,51.19,No,3225.39
C00198,Male,0,No,No,31,Yes,No phone service,Fiber optic,No internet service,Yes,Month-to-month,Yes,Bank transfer,31.23,No,970.33
C00199,Male,1,Yes,No,70,Yes,No phone service,Fiber optic,No internet service,No internet service,Two year,Yes,Bank transfer,79.69,No,5620.93
C00200,Male,0,Yes,Yes,65,Yes,No phone service,Fiber optic,No,No internet service,One year,Yes,Electronic check,88.09,No,5746.35
C00201,Female,1,Yes,No,9,Yes,Yes,Fiber optic,No,No internet service,Month-to-month,Yes,Bank transfer,25.41,Yes,246.81
C00202,Male,1,Yes,No,20,No,Yes,DSL,Yes,No,Month-to-month,Yes,Credit card,39.1,Yes,812.64
C00203,Male,0,No,Yes,39,Yes,No phone service,Fiber optic,No,No,Month-to-month,Yes,Mailed check,45.31,No,1774.09
C00204,Female,0,No,No,41,Yes,Yes,No,No internet service,No,Month-to-month,No,Credit card,63.05,No,2612.25
C00205,Male,0,No,Yes,71,Yes,Yes,Fiber optic,No internet service,No,Month-to-month,No,Mailed check,101.19,Yes,7226.27
C00206,Female,0,No,Yes,45,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,40.65,No,1850.52
C00207,Female,0,Yes,Yes,72,Yes,No,No,No internet service,No,One year,Yes,Electronic check,99.57,No,7194.94
C00208,Female,0,No,No,40,Yes,No,Fiber optic,Yes,Yes,Two year,No,Credit card,107.87,No,4323.02
C00209,Male,0,Yes,No,3,Yes,No phone service,DSL,No,Yes,Month-to-month,No,Credit card,38.25,No,151.6
C00210,Male,0,Yes,No,13,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Bank transfer,118.28,Yes,1565.74
C00211,Male,1,No,Yes,13,Yes,No,Fiber optic,No,No internet service,Month-to-month,No,Credit card,70.19,No,940.06
C00212,Male,0,Yes,No,52,Yes,Yes,Fiber optic,Yes,No internet service,Month-to-month,Yes,Electronic check,73.73,No,3845.24
C00213,Male,0,Yes,No,28,Yes,No,DSL,No internet service,Yes,One year,Yes,Mailed check,80.22,No,2292.03
C00214,Male,0,No,Yes,22,Yes,Yes,Fiber optic,Yes,No,Two year,No,Credit card,99.08,No,2196.98
C00215,Male,1,Yes,No,30,Yes,No,DSL,No,Yes,Month-to-month,Yes,Mailed check,83.98,Yes,2567.46
C00216,Female,0,Yes,Yes,70,Yes,No phone service,No,Yes,No internet service,Month-to-month,Yes,Mailed check,92.22,No,6472.49
C00217,Male,0,No,Yes,60,Yes,No phone service,Fiber optic,No internet service,No,Two year,Yes,Electronic check,62.41,No,3789.62
C00218,Female,0,Yes,No,22,Yes,No,DSL,Yes,No internet service,One year,No,Bank transfer,77.59,No,1734.91
C00219,Male,0,Yes,No,7,Yes,No,DSL,No,No,Month-to-month,No,Electronic check,42.96,No,303.92
C00220,Male,0,No,Yes,15,Yes,No,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Electronic check,54.69,Yes,868.07
